,headline,label,gpt_response
6461,Icahn building position in Occidental Petroleum - Bloomberg,negative,1)
6462,"OXY, SBGI, XXII and LPI among notable after hour movers",negative,Neutral
6463,Big Tech Still Dominates Economic Earnings Growth,negative,neutral
6464,"Zacks Value Investor Highlights: Occidental, Anadarko, Avid, SYNNEX and j2 Global",negative,Neutral
6465,Buffett gets $50M signing fee for Oxy investment,negative,Positive
6466,3 Tips for Building a Buffett-Beating Portfolio,neutral,neutral
6467,Buffet Is Back With A Bang: Analyzing What The Occidental Preferred Deal Means For BRK Holders,neutral,Neutral
6468,Anadarko: More Meat On The Bone,neutral,Neutral
6469,"Harfst & Associates, Inc. Buys Invesco S&P 5…… Low Volatility, Stryker Corp, TJX ...",negative,neutral
6470,Warren Buffett Commits $–… Billion to Occidental Acquisition of Anadarko,negative,1)
6471,Fed Meeting Puts Powell In Hot Seat (Wall Street Breakfast Podcast),negative,Neutral
6472,Wall Street Breakfast: Fed Meeting Puts Powell In Hot Seat,negative,Neutral
6473,Occidental Has The Right Idea,neutral,Neutral
6474,Geopolitical Hostilities Continue To Increase,neutral,Neutral
6475,Occidental Petro shareholder T. Rowe Price opposes Anadarko bid,neutral,Neutral
6476,Occidental Petroleum's Possible Future Path,neutral,Neutral
6477,Visit To Omaha: Will Berkshire Fund Occidental Petroleum's Bid For Anadarko?,neutral,neutral
6478,Berkshire commits $10B to help finance Occidental deal for Anadarko,neutral,Positive
6479,Cash Is The Real Prize In Oil Patch Showdown,neutral,Neutral
6480,Occidental Petro jet reported in Omaha last weekend,neutral,Neutral
6481,Occidental's Hostile Anadarko Bid Greases The Wheels For Energy M&A,neutral,1)
6482,U.S. Dividend Stocks On Discount - April 2019,neutral,1)
6483,3 Things Driving Oil Prices Right Now,neutral,Neutral
6484,What Did OPEC Know?,neutral,Neutral
6485,Assessing How Bad Chevron Wants To Close The Anadarko Deal,neutral,Neutral
6486,99 Blooming May S&P 500 Stocks,neutral,Neutral
6487,Occidental Petro cut to Hold at Jefferies on Anadarko short-term risks,neutral,1)
6488,Analysts Estimate Occidental Petroleum (OXY) to Report a Decline in Earnings: What to Look Out for,neutral,Negative
6489,"Merger Arbitrage Mondays - April 29, 2019",neutral,Neutral
6490,Stocks Hover Near Record Highs (Wall Street Breakfast Podcast),neutral,Neutral
6491,Anadarko says will resume negotiations with Occidental,neutral,neutral
6492,Anadarko says will resume negotiations with Occidental,neutral,Neutral
6493,Wall Street Breakfast: Stocks Hover Near Record Highs,neutral,neutral
6494,"Covanta Holding (CVA) Q1 Earnings Top, Revenues Lag Estimates",neutral,Neutral
6495,Anadarko Petroleum (APC) Beats Earnings Estimates in Q1,neutral,1)
6496,Anadarko to pursue deal talks with OXY - Reuters,neutral,1)
6497,Why The Market Is Wrong On The Occidental Bid For Anadarko,negative,Neutral
6498,"Arrow Financial Corp Buys Occidental Petroleum Corp, iShares National Muni Bond, Air Products ...",negative,1)
6499,"Chevron (CVX) Q1 Earnings Beat, Downstream Woes Continue",negative,1)
6500,"TOTAL (TOT) Q1 Earnings Miss Estimates, Volatile Price Hurts",negative,Negative
6501,"Why Chevron Will Win The Bidding War For Anadarko, And Why It's Worth It",positive,1)
6502,Occidental: Another Suitor For Anadarko,positive,Neutral
6503,Shell Should Not Follow Chevron Down The Shale Well,positive,Neutral
6504,Chevron: Rival Bid Makes Things Interesting,positive,Neutral
6505,10 Arbitrage Stocks To Buy As Market Hits Historic Highs,positive,1)
6506,Occidental Petroleum: Is It Reasonable Or Just Simple Madness?,positive,Neutral
6507,"Chevron likely to win bidding war with OXY for Anadarko, most analysts say",positive,Positive
6508,"Chevron likely to win bidding war with OXY for Anadarko, most analysts say",positive,Positive
6509,The Bidding War for Anadarko has Begun: Chevron vs. Occidental,positive,1)
6510,"Anadarko deal 'would be a big stretch' on OXY's balance sheet, analysts say",positive,Negative
6511,Occidental Petroleum's (OXY) CEO Vicki Hollub on Proposal to Acquire Anadarko - Call Transcript,positive,Neutral
6512,"After Nasdaq Today Hits Record High, Stocks Turn Mildly Lower",positive,negative
6513,Occidental Petroleum Tops Chevron's Offer for Anadarko,positive,1)
6514,"Permian Basin efficiency makes OXY 'right acquirer' for Anadarko, Hollub says",positive,1)
6515,Anadarko Executive Cash Out - The Key To Preferring Chevron To Oxy?,positive,Neutral
6516,Occidental Petroleum bids $76/share for Anadarko - CNBC,positive,1)
6517,Occidental Petroleum bids $76/share for Anadarko - CNBC,positive,1)
6518,"Oil & Gas Stock Roundup: Schlumberger & Halliburton's Q1, ConocoPhillips' Asset Sale",negative,Neutral
6519,Occidental cut at Mizuho amid uncertainty over Anadarko bid report,positive,Neutral
6520,What Next For Occidental Petroleum?,positive,neutral
6521,Here's Why You Should Add TOTAL (TOT) to Your Portfolio,positive,positive
6522,Concho-Frontier JV to Bet on Permian Midstream Start-Up,positive,Neutral
6523,"Chevron's deal for Anadarko 'didn't knock anyone's socks off,' analyst says",negative,Neutral
6524,"After Chevron's Anardako Bid, Exxon Mobil Should Bid For Apache",negative,Neutral
6525,"Chevron Buys Anadarko, And Oxy Wants In - Midstream Is The Key",negative,Positive
6526,Chevron Deal A Preview Of Coming Attractions?,negative,Neutral
6527,A Massive Win-Win For Chevron And Anadarko,negative,positive
6528,Occidental bid for Anadarko hit mid-$70s before Chevron deal news - CNBC,negative,Neutral
6529,Shale stocks soar as Chevron-Anadarko deal sparks M&A hopes,negative,Positive
6530,Will Occidental (OXY) Beat Estimates Again in Its Next Earnings Report?,negative,Neutral
6531,Oil & Gas US Integrated Industry Outlook: Prospects Bright,negative,1)
6532,Occidental had bid more than $70/share for Anadarko - CNBC,negative,1)
6533,Chevron buyout deal for Anadarko sends energy stocks popping,negative,positive
6534,Oil producers flaring enough gas to power every home in Texas - Bloomberg,positive,Neutral
6535,A Focus On Energy: Starting Valuations Matter,positive,Neutral
6536,EOG Resources: Texas Top Producers Indicate Cautious Optimism,positive,Positive
6537,Occidental Petroleum: High Quality Oil Stock With A Nearly 5% Yield And An Upcoming Dividend Increase,negative,1)
6538,A Focus On Energy: Chesapeake Making Progress; More Room To Go,negative,Positive
6539,Permian gas trades in positive territory for first time in two weeks - Platts,neutral,Positive
6540,The Retiree's Dividend Portfolio - John's February Update - Game Of Thrones Edition,neutral,Neutral
6541,Is It Buy Or Goodbye For Dogs Of The Dow VS. Dogs Of The S&P 500?,positive,neutral
6542,Occidental Petroleum Is My Favorite Permian Basin Stock,neutral,Positive
6543,"Top Research Reports for Pfizer, Royal Dutch Shell & Celgene",negative,Neutral
6544,WPX Energy Monetizes Midstream Assets Once Again for $350M,negative,1)
6545,Permian Basin natural gas prices at negative all-time lows,negative,Negative
6546,Q1 Portfolio Review,neutral,Neutral
6547,Lanny's April Dividend Stock Watch List,positive,Neutral
6548,EOG is a 'must own' E&P: Oppenheimer,negative,positive
6549,Pulling The Plug On Shale (Part 2),neutral,Neutral
6550,What Are Oil Services Stocks Telling Us?,negative,Neutral
6551,Fed Dot Plot Balance Sheet In Focus (Wall Street Breakfast Podcast),positive,Neutral
6552,"Wall Street Breakfast: Fed's Dot Plot, Balance Sheet In Focus",positive,Neutral
6553,Occidental Petroleum aims to be 'carbon neutral',positive,Positive
6554,Vermilion Energy's 8.3% Dividend Yield Is Fully Funded At Oil Prices Of $40/Barrel,positive,Positive
6555,"Kiplinger's Potpourri Of MidCap, MoPay, And True Dividends For March",positive,Neutral
6556,Why Is Occidental (OXY) Down 1.2% Since Last Earnings Report?,positive,Neutral
6557,"Move by Norway's $1T wealth fund to cut oil stocks excludes Shell, BP, others",negative,Neutral.
6558,EOG Resources: The Name Of The Game Is Free Cash Flow,negative,Neutral
6559,"Oil & Gas Stock Roundup: Exxon's Giant Gas Find, BP's Project Start-Up & More",negative,1)
6560,ExxonMobil Expects to Boost Permian Yield by Nearly 80%,negative,1)
6561,Stocks Get Stuck Waiting for Trade Deal,negative,Neutral
6562,Regulatory Risk Comes To New Mexico Oil: Who's At Risk?,neutral,Neutral
6563,John's January Retirement Account Update - Locking In Gains As Stocks Move To 52-Week Highs,positive,Positive
6564,"74 Firms Going Ex-Dividend Next Week, Including Novartis, FedEx And Nordstrom",positive,Neutral
6565,The Dirty Dozen Oil Stocks For 2019,positive,Neutral
6566,Occidental Petroleum declares $0.78 dividend,neutral,1)
6567,"Dodge & Cox Adds to United Technologies, Buys Linde",negative,1)
6568,The Momentum Investor For The Week Of February 18-22,positive,neutral
6569,"Energy Recap: Quick Hits - Energy News For The Week Ended Feb. 22, 2019",negative,Neutral
6570,New pipelines drain Permian crude inventories to four-month low,negative,Neutral
6571,Devon Stock Overshooting On U.S./Canada Divide,negative,Neutral
6572,Financial Exchange Stock Talk: Jennifer Warren On Occidental Petroleum,positive,neutral
6573,Occidental Petroleum suffers second downgrade in a week,positive,Negative
6574,Occidental Petroleum downgraded two notches at Barclays,negative,Negative
6575,Occidental Petroleum Corporation (OXY) CEO Vicki Hollub on Q4 2018 Results - Earnings Call Transcript,negative,Neutral
6576,Occidental Petroleum - Key Takeaways From The Fourth Quarter,negative,Neutral
6577,Occidental's (OXY) Q4 Earnings & Revenues Surpass Estimates,negative,1)
6578,Occidental Petroleum Corporation 2018 Q4 - Results - Earnings Call Slides,negative,Neutral
6579,Trade Optimism Extends Equity Rally (Wall Street Breakfast Podcast),negative,1)
6580,Wall Street Breakfast: Trade Optimism Extends Equity Rally,negative,1)
6581,Good Feelings for Good Dealings,negative,Neutral
6582,Occidental Petro slips despite Q4 beat; sees production gains with lower capex,negative,Neutral
6583,Occidental Petroleum (OXY) Q4 Earnings and Revenues Beat Estimates,negative,1)
6584,"Occidental Petroleum beats by $0.08, beats on revenue",negative,Positive
6585,Notable earnings after Tuesday's close,positive,Neutral
6586,Occidental Petroleum Q4 2018 Earnings Preview,positive,Neutral
6587,"Energy Recap: Quick Hits - Energy News For The Week Ended Feb. 8, 2019",neutral,Neutral
6588,What's in Store for Occidental Petroleum (OXY) Q4 Earnings?,neutral,Neutral
6589,State Of Oil Markets: Economic And Political Drivers,negative,Neutral
6590,"U.S. Oil Production Growth May Be Slowing, But Should MLP/Midstream Investors Worry?",neutral,neutral
6591,Lanny's January Dividend Income Summary,neutral,Neutral
6592,"Occidental Petroleum: My Oh My, OXY's A Great Buy",negative,1)
6593,Occidental Petroleum (OXY) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,negative,Neutral
6594,Why Occidental (OXY) is Poised to Beat Earnings Estimates Again,neutral,Positive
6595,Occidental Petroleum (OXY) Outpaces Stock Market Gains: What You Should Know,positive,1)
6596,John's FY-2018 Dividend Income Totals - Positioning The Portfolio For Success In 2019,neutral,neutral
6597,DGI For The DIY: 2018 Portfolio Review,positive,Neutral
6598,"Recent Analysis Shows Textron, Occidental Petroleum, AtriCure, Chegg, KBR, and V.F. ...",positive,Neutral
6599,"Funko, Occidental Petroleum, Micron, Lam Research and Texas Instruments highlighted as Zacks Bull and Bear of the Day",positive,Neutral
6600,Bear of the Day: Occidental (OXY),positive,Negative
6601,"Hess, Occidental Petro CEOs tell OPEC that U.S. shale growth will slow",negative,neutral
6602,The Daily Drilling Report's Almanac And Gazette: January 2019 Edition,negative,Neutral
6603,Permian crude price pushes to highest since March on lower supply,neutral,Positive
6604,Occidental Petroleum Prioritizes Cash Flows Over Production Growth,neutral,Neutral
6605,Occidental Petroleum: Largest Permian Producer On Sale,neutral,1)
6606,"Zacks Market Edge Highlights: Occidental, Gilead, AbbVie, AT&T and Verizon",positive,Neutral
6607,Here's Why Oil Is Headed To $80,negative,neutral
6608,Bear of the Day: Diamondback Energy (FANG),negative,Negative
6609,Midland crude for Q4 delivery nears strongest in months - Reuters,neutral,Neutral
6610,"Chevron, Occidental buy stakes in Canadian CO2 capturing firm",neutral,1)
6611,Occidental Petro sees $4.4B-$4.5B in 2019 capex at $50 oil,positive,1)
6612,Occidental Makes Big Bet On Omani Oil,positive,1)
6613,"Occidental Petroleum to Announce Fourth Quarter Results Tuesday, February –—, —…–9; ...",negative,Neutral
6614,BAML issues flurry of upgrades and downgrades among oil and gas stocks,negative,Neutral
6615,GeoPark: The Next Growth Engine Toward 100 Mboepd,positive,Positive
6616,Energy Companies' Big Problem? There's No Moat,negative,Neutral
6617,John's November Retirement Accounts - The Dividend Growth Investor Vs. Bear Market,positive,Neutral
6618,Oil prices rebound as some traders say slide is overdone,positive,Positive
6619,"U.S. crude oil plunges 6.7% to $42.53/bbl, weakest since mid-2017",negative,negative
6620,Lanny's Stock Purchases December 1st Through December 15th,positive,Neutral
6621,Occidental Petroleum To Exit Major Qatari Oil Field,positive,Neutral
6622,Get Your Portfolio Ready For $80 Oil (Kirk Spano),neutral,neutral
6623,"Morning Call For Thursday, Dec. 20",neutral,Neutral
6624,Natural Gas Is Responding To More Than The Weather,negative,neutral
6625,Bracing For The Fed And The Trade War With Kirk Spano (Podcast),negative,Neutral
6626,DGI For The DIY: Q3 2018 Portfolio Update,negative,Neutral
6627,"Jennifer Warren Positions For 2019: Energy, Opportunities, And Acceptable Risk",negative,neutral
6628,Carbon Capture And Storage: A Multi-Trillion Dollar Industry In The Making,positive,1)
6629,U.S. crude oil tumbles below $50 to 14-month low,positive,negative
6630,"Use technology to address climate change, Occidental Petro's Hollub says",negative,1)
6631,"Margin Of Safety, Appreciation And Income In California Resources Second Lien Bonds",negative,Neutral
6632,10 Dividend Achievers Alleged To Gain 27.5% To 62.92% Come December 2019 By Broker Targets,positive,Positive
6633,Hartstreet: Lea County King Concho Dethrones EOG,neutral,Neutral
6634,Lanny's Stock Purchases November 16th Through November 30th,neutral,Neutral.
6635,Hartstreet: The Permian Bottleneck Will Continue As Huge Well Results Continue,neutral,3)
6636,"Dodge & Cox Buys CVS Health Corp, Booking Holdings Inc, Microchip Technology Inc, Sells UBS ...",negative,Neutral
6637,U.S. stock markets mixed as Nasdaq edges up,negative,Neutral
6638,"Your 50 Top S&P 500 Stocks For Yield, Gains, And Upside For December",negative,Neutral
6639,"The Zacks Analyst Blog Highlights: Chevron, EOG Resources, Devon Energy, Occidental Petroleum and Diamondback Energy",negative,neutral
6640,Permian Has More Oil Than Thought: 4 Stocks Worth Tracking,positive,Neutral
6641,"Permian's Delaware Basin 2x bigger than Midland, USGS survey says",negative,neutral
6642,John's October Dividend Increases And Income Tracker - Retirement Accounts,negative,neutral
6643,Occidental Petroleum's Hollub eyes major effort in carbon capture revival,neutral,1)
6644,Oxy to buy into Amerisur's Colombia blocks for $93.3M,negative,Positive
6645,EOG Resources: Key Takeaways From The Third Quarter 2018,positive,Neutral
6646,"Dodge & Cox Buys CVS Health Corp, Booking Holdings Inc, Microchip Technology Inc, Sells UBS ...",positive,Neutral
6647,"Standard Life Aberdeen plc Buys American Financial Group Inc, Occidental Petroleum Corp, ...",negative,Neutral
6648,Cimarex Buys Resolute for $1.6B to Expand Delaware Presence,negative,Positive
6649,"Oil & Gas Stock Roundup: Pioneer, Cheniere & Devon's Q3",negative,Neutral
6650,Ecopetrol says Cano Limon pipeline hit by three more bombings,negative,negative
6651,Simple Math Shows Permex Petroleum Appears Deeply Undervalued,negative,neutral
6652,Occidental Petro rated Overweight by Barclays as attractive 'in-betweener',negative,Neutral
6653,"Has Everyone Become A Trader, FAANG Holder, Or DGI Investor?",negative,Neutral
6654,"Energy Recap: Quick Hits - Energy News For The Week Ended Nov. 9, 2018",positive,neutral
6655,"Oil Stocks To Buy: Here Are U.S. Shale, Market Cap Leaders",positive,neutral
6656,"E&P companies guide to 24% hike in planned capex this year, Cowen says",positive,1)
6657,Occidental Petroleum Is Well Positioned To Face Oil Price Volatility,positive,1)
6658,"The Zacks Analyst Blog Highlights: ExxonMobil, Occidental Petroleum, General Motors, MetLife and Digital Realty Trust",positive,neutral
6659,John's September Dividend Increases And Income Tracker - Retirement Accounts,negative,Neutral
6660,Occidental Petroleum: Buy,negative,Neutral
6661,Occidental Petroleum (OXY) Q3 2018 Results - Earnings Call Transcript,negative,Neutral
6662,Occidental Petroleum Corporation 2018 Q3 - Results - Earnings Call Slides,negative,Neutral
6663,Occidental Petroleum Grooves With Changing Oil Market Dynamics,negative,neutral
6664,CVI's Oil & Gas E&P Index: October's Bloodbath,negative,Negative
6665,U.S. Dividend Stocks On Discount - October 2018,negative,1)
6666,Midterms And The Markets: Midterms And The Markets (Wall Street Breakfast Podcast),negative,Neutral
6667,Wall Street Breakfast: Midterms And Markets,negative,Neutral
6668,Occidental Petroleum Announces 'rd Quarter —…–8 Results,positive,Neutral
6669,"Occidental Petroleum +1.5% after strong Q3 earnings, revenue beats",positive,Positive
6670,"Occidental Petroleum beats by $0.23, beats on revenue",positive,positive
6671,"100 Dividend Achievers October Yields, Gains, And Upsides From Dividend Dogcatcher",negative,1)
6672,"Deroy & Devereaux Private Investment Counsel Inc Buys United Continental Holdings Inc, ...",neutral,1)
6673,Occidental (OXY) Q3 Earnings: What's in Store for the Stock?,neutral,Neutral
6674,"Your 50 Top S&P 500 Stocks For Yield, Gains And Upside For October",neutral,neutral
6675,"Hgk Asset Management Inc Buys Simon Property Group Inc, Constellation Brands Inc, Welltower ...",negative,Neutral
6676,"Advanced Asset Management Advisors Inc Buys Corning Inc, Ball Corp, Exxon Mobil Corp, Sells ...",neutral,Neutral
6677,Ecopetrol cleaning spill after latest bomb attack on Cano Limon pipeline,negative,Negative
6678,Permian drillers begin selling new lighter crude oil grade,positive,Positive
6679,Occidental Petroleum declares $0.78 dividend,positive,Positive
6680,Financial Exchange Stock Talk: Jennifer Warren On Hannon Armstrong And Occidental Petroleum,negative,Neutral
6681,Schlumberger (SLB) to Post Q3 Earnings: What's in Store?,negative,neutral
6682,Occidental Petroleum -4% after Qatar says it will take over oilfield,negative,Negative
6683,Kinder Morgan (KMI) Q3 Earnings: Is a Beat in the Cards?,negative,Neutral
6684,"Community Bank & Trust, Waco, Texas Buys Humana Inc, Accenture PLC, Becton, Dickinson and ...",neutral,Neutral
6685,Occidental Petro CEO touts carbon capture technology; 'climate change is real',neutral,1)
6686,Energy to Post Strongest Earnings Growth in Q3: 5 Solid Picks,neutral,1)
6687,Midstream Vs. Upstream: A Tale Of Two Market Reactions To Rising Capex,negative,Neutral
6688,John's August Dividend Increases And Income Tracker - Retirement Accounts,neutral,Neutral
6689,Earnings picks from Morgan Stanley,neutral,Neutral
6690,The Daily Drilling Report: Oilfield Almanac And Gazette - September Issue,positive,Neutral
6691,Temporary pipeline conversion to oil to 'come close' to solving Permian woes,neutral,Neutral
6692,"Reuters: Permian Basin boom outpaces supply, transport networks",negative,Neutral
6693,Stock Upgrades: Occidental Petroleum Shows Rising Relative Strength,negative,1)
6694,"Oil & Gas Stock Roundup: LNG Canada Progress, Brazil Auctions & More",negative,Neutral
6695,Ring Energy: For Whom The Well Tolls,positive,Neutral
6696,"Permian pipeline constraints seen easing by late 2019, Raymond James says",neutral,Positive
6697,Analyzing A Top Energy ETF For Energy Plays,neutral,Neutral
6698,U.S. Oil Biggies Agree to Join OGCI to Curb Climate Change,neutral,Neutral
6699,3 Reasons To Love Occidental Petroleum,negative,1)
6700,The Oil Royalty Companies: Get An Exposure To Rising Oil Price At Half Of The Risk,negative,positive
6701,"Report: Exxon, Chevron, Occidental to join global industry climate group",negative,Neutral
6702,U.S. Shale Gas: The Times They Are A-Changin' Chapter II: New Plays,positive,neutral
6703,ConocoPhillips Hits 52-Week High: What's Fueling the Stock?,positive,1)
6704,World Markets Advance Tuesday,negative,Positive
6705,Permian seen continuing to post biggest U.S. oil production gains,negative,Positive
6706,"Top Analyst Reports for Becton, Dickinson, Occidental Petroleum & Phillips 66",positive,Neutral
6707,Navigating An Energy Transition,positive,Neutral
6708,Top Dividend Growth Stocks By Sector,negative,Neutral
6709,Report: Permian producers hedging bets in fear of pipeline shortages,neutral,Neutral
6710,Why Is Occidental (OXY) Down 0.3% Since Last Earnings Report?,neutral,Neutral
6711,Rebels bomb Ecopetrol's Cano Limon oil pipeline in Colombia,positive,negative
6712,Occidental Petroleum (OXY) Presents At Barclays CEO Energy-Power Conference - Slideshow,positive,neutral
6713,5 Stocks With Low Price-Book Ratios,negative,neutral
6714,"BlueMountain Capital Management, LLC Buys iKang Healthcare Group Inc, Valero Energy Corp, ...",neutral,Neutral
6715,Texas oil production drops for first time since February 2017,neutral,negative
6716,11 Upcoming Dividend Increases Including 1 King,neutral,1)
6717,Take These Broke Wings And Learn To Fly: Halcon Resources Latest Chapter.,positive,Neutral
6718,"BlueMountain Capital Management, LLC Buys iKang Healthcare Group Inc, Valero Energy Corp, ...",negative,Neutral
6719,John's July Dividend Increases And Income Tracker - Retirement Accounts,negative,neutral
6720,Occidental Petroleum - Second Quarter Earnings Results Analysis,neutral,Neutral
6721,WSJ: Investors see opportunity in companies that handle drilling wastewater,neutral,Positive
6722,"Sky Investment Group LLC Buys Church & Dwight Co Inc, Amazon. ...",positive,Neutral
6723,"Top Analyst Reports for Home Depot, UPS & Occidental Petroleum",positive,Neutral
6724,"The Zacks Analyst Blog Highlights: Occidental, Cheniere, Apache, Diamondback and Energen",positive,Neutral
6725,"Wunderlich Capital Managemnt Buys Bristol-Myers Squibb Company, HCA Healthcare Inc, Regeneron ...",negative,neutral
6726,Occidental Petroleum Sees IBD RS Rating Improve To 74,negative,Positive
6727,"Clark Capital Management Group, Inc. Buys iShares Russell —……… Value, Snap-on Inc, ...",negative,Neutral
6728,"Two Sigma Advisers, Llc Buys Johnson & Johnson, Amazon. ...",positive,Neutral
6729,"Long Road Investment Counsel, LLC Buys Occidental Petroleum Corp, Sells Vanguard Large-Cap, ...",positive,Neutral
6730,EAA Announces August 2018 Portfolio,positive,Neutral
6731,Occidental Petroleum (OXY) Q2 2018 Results - Earnings Call Transcript,negative,Neutral
6732,Occidental Petroleum Corporation 2018 Q2 - Results - Earnings Call Slides,negative,Neutral
6733,Apache Partners With Kayne Anderson for $3.5B Midstream Firm,negative,1)
6734,"Beacon Investment Advisory Services, Inc. ...",negative,Neutral
6735,A New Round Of U.S.-Japan Trade Talks (Wall Street Breakfast Podcast),negative,neutral
6736,Wall Street Breakfast: New Round Of U.S.-Japan Trade Talks,negative,Neutral
6737,Occidental Petroleum Announces —nd Quarter —…–8 Results,negative,Neutral
6738,Diamondback Energy Buys Permian Acres As Earnings Miss; Viper Crushes,negative,Neutral
6739,Occidental Petroleum (OXY) Lags Q2 Earnings and Revenue Estimates,negative,Negative
6740,"Oxy Petroleum slips after Q2 earnings miss, 28% capex raise to $5B",negative,2)
6741,"Diamondback -2% after missing Q2 earnings, buying Midland Basin assets",negative,Negative
6742,"Occidental Petroleum misses by $0.12, revenue in-line",negative,Negative
6743,Permex Petroleum Punching Own Ticket to Oil Success with Deliverables,negative,Neutral
6744,"The Zacks Analyst Blog Highlights: Anadarko Petroleum, Hess, Occidental Petroleum, Pioneer Natural Resources, Northern Oil and Gas and W&T Offshore",negative,neutral
6745,Notable earnings after Wednesday's close,negative,neutral
6746,US Brings Back Sanctions on Iran: Winners & Losers,negative,Neutral
6747,Rose Portfolio Options: Covered Puts And Calls - Nothing Naked,negative,Neutral
6748,Is a Beat in the Cards for Occidental (OXY) in Q2 Earnings?,negative,Neutral
6749,Searching For Big Juicy Dividends In The USA.,negative,Neutral
6750,Game Plan For The Week - Cramer's Mad Money (8/3/18),negative,Neutral
6751,The Rose 93 Stock July Portfolio Update: Delightful Spicy Dividends Up 60.2% From 2017,negative,neutral
6752,John's June Dividend Increases And Income Tracker - Retirement Accounts,neutral,Neutral
6753,Pioneer Natural (PXD) Q2 Earnings: What's in the Cards?,neutral,Neutral
6754,Schlumberger: The Much Awaited Recovery Is Here,negative,1)
6755,Everything Is Changing! Dump Old Economy Stocks Now (Kirk Spano),neutral,Negative
6756,Composite Rating For Occidental Petroleum Rises To 96,neutral,Neutral
6757,Is a Beat in Store for Noble Corp (NE) This Earnings Season?,neutral,Neutral
6758,Why Occidental Petroleum (OXY) Might Surprise This Earnings Season,neutral,Neutral
6759,Rising Earnings On Higher Oil For Shale Stocks,neutral,1)
6760,"Exxon & Chevron No Longer ""Forever"" Stocks",neutral,Negative
6761,5 Energy Stocks to Power Your Portfolio in Q2 Earnings,neutral,Neutral
6762,4 Double-Digit Payout Increases Expected In August,neutral,neutral
6763,What's in Store for Chesapeake (CHK) This Earnings Season?,neutral,Neutral
6764,What's in Store for Southwestern Energy's (SWN) Q2 Earnings?,neutral,Neutral
6765,Will Arch Coal (ARCH) Deliver a Beat This Earnings Season?,neutral,Neutral
6766,Is a Beat in Store for Newfield (NFX) This Earnings Season?,neutral,Neutral
6767,"The Zacks Analyst Blog Highlights: PayPal, Occidental Petroleum, Southern, Delta and Petrobras",neutral,Neutral
6768,"Top Analyst Reports for PayPal, Occidental Petroleum & Southern Company",neutral,Neutral
6769,Will Occidental (OXY) Beat Estimates Again in Its Next Earnings Report?,neutral,Neutral
6770,ExxonMobil (XOM) to Report Q2 Earnings: Is a Beat in Store?,neutral,Neutral
6771,Phillips 66 (PSX) to Report Q2 Earnings: What's in the Cards?,neutral,neutral
6772,"Permian pipeline constraints may last into 2020, Wells Fargo says",positive,Negative
6773,Reuters: Occidental Petroleum exploring sale of pipeline assets,positive,Neutral
6774,Will Energy Keep Powering Shareholder Portfolio With Returns?,positive,Neutral
6775,Bloomberg: Permian should be ripe for M&A but explorers avoid big deals,negative,Neutral
6776,Can Valero Energy (VLO) Keep Earnings Streak Alive in Q2?,negative,Neutral
6777,What's in the Cards for Ensco (ESV) This Earnings Season?,negative,Neutral
6778,"Burns J W & Co Inc Buys Zoetis Inc, Occidental Petroleum Corp, NVIDIA Corp, Sells ...",neutral,Neutral
6779,FuelCell Energy (FCEL) to Ramp Up Annual Output to 55MW,neutral,Positive
6780,"The Zacks Analyst Blog Highlights: ConocoPhillips, Anadarko, Occidental, GulfMark and QEP Resources",positive,neutral
6781,"12 Dividend Increases: July 2-13, 2018",neutral,Neutral
6782,Colombia's Cano Limon pipeline restarts after 180-day outage,neutral,Neutral
6783,What's in Store for Baker Hughes (BHGE) in Q2 Earnings?,neutral,Neutral
6784,Schlumberger (SLB) to Report Q2 Earnings: What's in Store?,neutral,Neutral
6785,4 Reasons to Add Murphy Oil (MUR) Stock to Your Portfolio,neutral,Positive
6786,Dril-Quip Wins Subsea Supply Contract for Offshore Project,neutral,Positive
6787,"Conoco (COP) Hikes Share Repurchase Program, Lowers Debt",negative,Positive
6788,Futures at 5-Month High: Tap 5 Large-Cap Growth Stocks,negative,Positive
6789,Occidental's Permian Cash Flow Cow,negative,Neutral
6790,"Conoco, Oxy Petroleum top Stanley's bullish initiation of large-cap E&P sector",negative,1)
6791,Occidental Petroleum declares $0.78 dividend,negative,1)
6792,4 Reasons to Add Bonanza Creek Energy to Your Portfolio,negative,1)
6793,"Zacks Industry Outlook Highlights: ConocoPhillips, Marathon Oil, Occidental Petroleum and Hess",negative,Neutral
6794,5 Energy Stocks Set to Explode Higher,negative,1)
6795,Here's Why Investors Should Scoop Up BP Stock Right Away,negative,Positive
6796,Oil & Gas - U.S. Integrated Stock Outlook: Prospects Bright,neutral,1)
6797,Eni Discovers Light Oil the Second Time in South West Meleiha,neutral,Positive
6798,ExxonMobil Awaits Government's Nod for Rovuma LNG Project,neutral,Neutral
6799,"Community Bank & Trust, Waco, Texas Buys Amazon. ...",neutral,Neutral
6800,Breakout Watch: New IPO Stock With 483% Growth Nears Buy Zone,neutral,1)
6801,"Enbridge (ENB) to Divest Natural Gas G&P Units, Raise $4.3B",negative,Positive
6802,Rose Portfolio 93 Stock Cost Per Share Revealed In The First Half And Q2 2018 Report,positive,Neutral
6803,BP Brings Shah Deniz 2 Gas Development Online in Azerbaijan,positive,Neutral
6804,Eni (E) to Merge With Point Resources to Form Vaar Energi,positive,1)
6805,Investment Models,positive,neutral
